dataset,seed,method,stage,trial_id,class_id,x,y
natops,1,umap,baseline,natops_train_n00051,0,7.832381725311279,1.173048496246338
natops,1,umap,baseline,natops_train_n00070,2,9.372432708740234,-2.9705188274383545
natops,1,umap,baseline,natops_train_n00126,1,11.377843856811523,-2.790501594543457
natops,1,umap,baseline,natops_train_n00164,5,2.389435291290283,11.420491218566895
natops,1,umap,baseline,natops_train_n00141,0,7.883584499359131,2.6989212036132812
natops,1,umap,baseline,natops_train_n00052,2,6.8189263343811035,-2.967944383621216
natops,1,umap,baseline,natops_train_n00112,0,13.040786743164062,-2.2093164920806885
natops,1,umap,baseline,natops_train_n00162,1,6.606797695159912,-3.57541823387146
natops,1,umap,baseline,natops_train_n00019,5,0.14918972551822662,15.224745750427246
natops,1,umap,baseline,natops_train_n00049,5,-0.056682784110307693,15.130043029785156
natops,1,umap,baseline,natops_train_n00105,1,9.2699613571167,-3.15841007232666
natops,1,umap,baseline,natops_train_n00117,3,-10.370499610900879,4.072654724121094
natops,1,umap,baseline,natops_train_n00157,4,-3.5609633922576904,2.906869411468506
natops,1,umap,baseline,natops_train_n00098,4,-3.277678966522217,4.251063346862793
natops,1,umap,baseline,natops_train_n00114,4,-4.3017897605896,2.187579870223999
natops,1,umap,baseline,natops_train_n00138,5,0.13034041225910187,14.836321830749512
natops,1,umap,baseline,natops_train_n00044,0,9.556745529174805,1.9419057369232178
natops,1,umap,baseline,natops_train_n00043,5,-0.26338958740234375,15.054512977600098
natops,1,umap,baseline,natops_train_n00134,5,1.631468653678894,16.375865936279297
natops,1,umap,baseline,natops_train_n00040,2,9.142029762268066,-3.00518798828125
natops,1,umap,baseline,natops_train_n00125,5,1.7126243114471436,16.589401245117188
natops,1,umap,baseline,natops_train_n00005,4,-4.941323280334473,3.2340891361236572
natops,1,umap,baseline,natops_train_n00080,5,1.1999423503875732,16.147809982299805
natops,1,umap,baseline,natops_train_n00111,3,-10.757946968078613,4.194342136383057
natops,1,umap,baseline,natops_train_n00072,3,-4.653560161590576,2.087156295776367
natops,1,umap,baseline,natops_train_n00152,4,-2.7799041271209717,-0.24426674842834473
natops,1,umap,baseline,natops_train_n00123,3,-3.3700942993164062,1.1061431169509888
natops,1,umap,baseline,natops_train_n00110,2,14.813409805297852,-3.654820203781128
natops,1,umap,baseline,natops_train_n00035,4,-3.4254024028778076,2.5752007961273193
natops,1,umap,baseline,natops_train_n00163,3,-5.431320667266846,2.688213348388672
natops,1,umap,baseline,natops_train_n00161,4,-3.669646978378296,1.8025765419006348
natops,1,umap,baseline,natops_train_n00116,4,-3.944831132888794,1.4497017860412598
natops,1,umap,baseline,natops_train_n00028,4,-4.229365348815918,5.003460884094238
natops,1,umap,baseline,natops_train_n00021,2,14.01639461517334,-3.08937931060791
natops,1,umap,baseline,natops_train_n00113,2,8.554706573486328,-4.880618572235107
natops,1,umap,baseline,natops_train_n00146,5,0.6899145841598511,16.453887939453125
natops,1,umap,baseline,natops_train_n00104,1,13.462499618530273,-2.8887522220611572
natops,1,umap,baseline,natops_train_n00018,1,8.802458763122559,-5.234592437744141
natops,1,umap,baseline,natops_train_n00050,3,-4.918452739715576,6.228301525115967
natops,1,umap,baseline,natops_train_n00033,4,-3.0566298961639404,4.0342488288879395
natops,1,umap,baseline,natops_train_n00097,5,-0.04317016527056694,14.758249282836914
natops,1,umap,baseline,natops_train_n00065,5,2.589708089828491,11.820849418640137
natops,1,umap,baseline,natops_train_n00129,3,-4.422003746032715,5.156955718994141
natops,1,umap,baseline,natops_train_n00081,0,8.79604721069336,1.1389061212539673
natops,1,umap,baseline,natops_train_n00060,3,-3.4538168907165527,4.415009498596191
natops,1,umap,baseline,natops_train_n00087,4,-4.311488151550293,5.33817720413208
natops,1,umap,baseline,natops_train_n00071,3,-2.375286102294922,-1.0223495960235596
natops,1,umap,baseline,natops_train_n00175,3,-2.8736443519592285,0.20729616284370422
natops,1,umap,baseline,natops_train_n00076,1,10.85764217376709,-2.505777359008789
natops,1,umap,baseline,natops_train_n00029,4,-10.055743217468262,4.219210147857666
natops,1,umap,baseline,natops_train_n00136,5,2.2229976654052734,11.574747085571289
natops,1,umap,baseline,natops_train_n00153,4,-2.745910167694092,-0.5014408826828003
natops,1,umap,baseline,natops_train_n00107,5,2.0489606857299805,11.51205062866211
natops,1,umap,baseline,natops_train_n00074,4,-4.52610445022583,2.4718008041381836
natops,1,umap,baseline,natops_train_n00094,0,8.03939151763916,1.3314687013626099
natops,1,umap,baseline,natops_train_n00106,1,6.344658374786377,-1.099025845527649
natops,1,umap,baseline,natops_train_n00168,1,10.911767959594727,-2.987342596054077
natops,1,umap,baseline,natops_train_n00177,0,7.499758720397949,0.42654117941856384
natops,1,umap,baseline,natops_train_n00120,2,11.069708824157715,-2.7721402645111084
natops,1,umap,baseline,natops_train_n00067,0,9.250109672546387,1.433785319328308
natops,1,umap,baseline,natops_train_n00143,3,-5.443297386169434,3.0991761684417725
natops,1,umap,baseline,natops_train_n00064,0,7.684061050415039,2.5765678882598877
natops,1,umap,baseline,natops_train_n00046,1,6.717182159423828,-1.8188090324401855
natops,1,umap,baseline,natops_train_n00026,2,7.512916088104248,-2.8672103881835938
natops,1,umap,baseline,natops_train_n00127,0,8.43945026397705,1.7590925693511963
natops,1,umap,baseline,natops_train_n00001,2,9.67690658569336,-4.979642868041992
natops,1,umap,baseline,natops_train_n00073,2,10.049687385559082,-2.0976812839508057
natops,1,umap,baseline,natops_train_n00011,0,9.385869979858398,-4.4792962074279785
natops,1,umap,baseline,natops_train_n00139,1,7.392332077026367,1.08833909034729
natops,1,umap,baseline,natops_train_n00068,1,6.340034008026123,-3.4509568214416504
natops,1,umap,baseline,natops_train_n00145,5,1.3062409162521362,17.17612648010254
natops,1,umap,baseline,natops_train_n00079,5,2.795008420944214,11.311718940734863
natops,1,umap,baseline,natops_train_n00155,1,6.620758533477783,-0.7124237418174744
natops,1,umap,baseline,natops_train_n00171,0,11.25230884552002,-3.276543140411377
natops,1,umap,baseline,natops_train_n00121,0,8.38412094116211,1.2615002393722534
natops,1,umap,baseline,natops_train_n00140,0,11.556623458862305,-2.2948551177978516
natops,1,umap,baseline,natops_train_n00173,1,14.097061157226562,-3.955491781234741
natops,1,umap,baseline,natops_train_n00002,2,8.35011100769043,-3.407118082046509
natops,1,umap,baseline,natops_train_n00128,5,1.79984712600708,16.544357299804688
natops,1,umap,baseline,natops_train_n00084,1,8.40036392211914,-4.221659183502197
natops,1,umap,baseline,natops_train_n00100,5,0.46762487292289734,15.856108665466309
natops,1,umap,baseline,natops_train_n00025,5,1.0519431829452515,17.303394317626953
natops,1,umap,baseline,natops_train_n00179,3,-3.8804478645324707,4.716642379760742
natops,1,umap,baseline,natops_train_n00165,3,-5.268435478210449,3.3517656326293945
natops,1,umap,baseline,natops_train_n00031,4,-10.463976860046387,3.509280204772949
natops,1,umap,baseline,natops_train_n00099,4,-3.160062551498413,1.2116273641586304
natops,1,umap,baseline,natops_train_n00054,1,14.415094375610352,-3.73466157913208
natops,1,umap,baseline,natops_train_n00144,0,9.152389526367188,1.2433710098266602
natops,1,umap,baseline,natops_train_n00174,3,-4.2403035163879395,4.963773250579834
natops,1,umap,baseline,natops_train_n00053,2,14.2815523147583,-3.3520734310150146
natops,1,umap,baseline,natops_train_n00119,5,0.20934097468852997,15.57275390625
natops,1,umap,baseline,natops_train_n00133,5,0.5188617706298828,16.636594772338867
natops,1,umap,baseline,natops_train_n00115,4,-4.276686191558838,2.259084463119507
natops,1,umap,baseline,natops_train_n00172,5,2.911159038543701,11.517463684082031
natops,1,umap,baseline,natops_train_n00101,3,-4.7073798179626465,6.288215637207031
natops,1,umap,baseline,natops_train_n00022,4,-2.68609881401062,4.444543361663818
natops,1,umap,baseline,natops_train_n00062,1,6.450734615325928,-2.873532772064209
natops,1,umap,baseline,natops_train_n00082,1,8.199472427368164,-3.8188986778259277
natops,1,umap,baseline,natops_train_n00102,1,10.36744213104248,-3.3081307411193848
natops,1,umap,baseline,natops_train_n00142,0,8.662691116333008,2.2640480995178223
natops,1,umap,baseline,natops_train_n00135,0,8.647639274597168,2.8451812267303467
natops,1,umap,baseline,natops_train_n00085,1,13.656867027282715,-3.5076935291290283
natops,1,umap,baseline,natops_train_n00003,3,-4.865941524505615,3.4918322563171387
natops,1,umap,baseline,natops_train_n00077,2,10.07540225982666,-5.12928581237793
natops,1,umap,baseline,natops_train_n00055,0,7.29592227935791,-0.00045633295667357743
natops,1,umap,baseline,natops_train_n00007,5,0.9567546248435974,17.187088012695312
natops,1,umap,baseline,natops_train_n00023,3,-10.111739158630371,4.371549129486084
natops,1,umap,baseline,natops_train_n00118,2,10.159846305847168,-2.1169521808624268
natops,1,umap,baseline,natops_train_n00014,2,14.214409828186035,-3.304926872253418
natops,1,umap,baseline,natops_train_n00058,1,6.822635650634766,-0.4787242114543915
