method,reference,n_pairs,mean_delta,median_delta,win,tie,loss,bootstrap_ci_low,bootstrap_ci_high
csta_topk_uniform_top5,wdba_sameclass,21,-0.002680420456259293,0.006046160760143637,12,0,9,-0.030017033380700938,0.024298315900609345
csta_topk_uniform_top5,dba_sameclass,21,0.0019328525699877576,0.00011018765006842735,11,0,10,-0.027676803092458707,0.03239233553891614
csta_fv_filter_top5,csta_topk_uniform_top5,21,-0.02472496783428339,-0.018311729302032065,3,0,18,-0.04087227674405371,-0.00871159637108084
csta_fv_filter_top5,wdba_sameclass,21,-0.027405388290542683,-0.008493385276009957,8,0,13,-0.05847161419749712,0.00042128207071064354
csta_fv_filter_top5,dba_sameclass,21,-0.02279211526429563,-0.008867948998806385,5,0,16,-0.056376466793513734,0.007970003686398379
csta_fv_score_top5,csta_topk_uniform_top5,21,-0.01919621380355298,-0.0022316837584382965,9,1,11,-0.05161105245549925,0.008792883473476046
csta_fv_score_top5,wdba_sameclass,21,-0.02187663425981228,0.0031733850117557916,11,0,10,-0.05685313747247686,0.013000610152089087
csta_fv_score_top5,dba_sameclass,21,-0.017263361233565228,0.0028044050204223403,12,0,9,-0.04463265971206732,0.009481955627330313
csta_random_feasible_selector,csta_topk_uniform_top5,21,-0.02472496783428339,-0.018311729302032065,3,0,18,-0.04087227674405371,-0.00871159637108084
csta_random_feasible_selector,wdba_sameclass,21,-0.027405388290542683,-0.008493385276009957,8,0,13,-0.05847161419749712,0.00042128207071064354
csta_random_feasible_selector,dba_sameclass,21,-0.02279211526429563,-0.008867948998806385,5,0,16,-0.056376466793513734,0.007970003686398379
